day,month,size
12,12.68722467,3
15,12.68722467,3
23,12.68722467,20
17,12.68722467,1
28,12.68722467,18
4,12.68722467,1
27,12.68722467,19
18,12.68722467,1
21,12.68722467,1
30,12.68722467,6
3,12.68722467,3
9,12.68722467,1
25,12.68722467,2
1,12.68722467,2
16,12.68722467,12
22,12.68722467,11
27,12.68722467,6
4,12.68722467,4
20,12.68722467,2
28,12.68722467,8
19,12.68722467,2
23,12.68722467,2
25,12.68722467,10
27,12.68722467,2
30,12.68722467,1
13,12.68722467,2
20,12.68722467,1
28,12.68722467,2
4,12.68722467,2
8,12.68722467,2
13,12.68722467,1
18,12.68722467,4
26,12.68722467,3
24,12.68722467,8
14,12.68722467,5
24,12.68722467,7
16,12.68722467,2
28,12.68722467,3
6,12.68722467,1
8,12.68722467,9
22,12.68722467,1
27,12.68722467,4
12,12.68722467,3
26,12.68722467,4
11,12.68722467,15
20,12.68722467,3
27,12.68722467,2
21,12.68722467,14
20,39.91189427,10
5,39.91189427,33
22,39.91189427,6
15,39.91189427,10
15,39.91189427,10
6,39.91189427,12
20,39.91189427,8
4,39.91189427,10
23,39.91189427,1
23,39.91189427,4
2,39.91189427,1
9,39.91189427,1
12,39.91189427,6
21,39.91189427,6
1,39.91189427,18
16,39.91189427,7
6,39.91189427,5
20,39.91189427,2
27,39.91189427,2
8,39.91189427,6
25,39.91189427,3
11,39.91189427,9
23,39.91189427,3
1,39.91189427,3
18,39.91189427,13
8,39.91189427,11
1,39.91189427,12
18,39.91189427,1
21,39.91189427,1
27,39.91189427,2
5,39.91189427,2
12,39.91189427,4
4,39.91189427,6
25,39.91189427,1
26,39.91189427,2
4,39.91189427,1
9,39.91189427,6
18,39.91189427,2
24,39.91189427,1
2,39.91189427,2
18,39.91189427,2
19,39.91189427,8
6,39.91189427,2
13,39.91189427,13
6,39.91189427,8
16,39.91189427,4
25,39.91189427,1
10,39.91189427,2
17,39.91189427,2
24,39.91189427,2
4,39.91189427,4
24,39.91189427,6
17,39.91189427,3
25,39.91189427,2
13,39.91189427,6
8,72.68722467,7
24,72.68722467,1
29,72.68722467,3
17,72.68722467,41
11,72.68722467,3
16,72.68722467,1
3,72.68722467,4
24,72.68722467,2
14,72.68722467,2
6,72.68722467,4
21,72.68722467,2
3,72.68722467,2
10,72.68722467,3
1,72.68722467,2
20,72.68722467,1
28,72.68722467,10
14,72.68722467,3
4,72.68722467,5
25,72.68722467,4
7,72.68722467,11
17,72.68722467,3
10,72.68722467,3
22,72.68722467,4
26,72.68722467,3
29,72.68722467,1
30,72.68722467,1
29,72.68722467,4
11,72.68722467,1
14,72.68722467,2
28,72.68722467,2
5,72.68722467,1
6,72.68722467,2
11,72.68722467,5
20,72.68722467,18
4,72.68722467,3
10,72.68722467,2
15,72.68722467,1
19,72.68722467,2
26,72.68722467,2
31,72.68722467,3
3,72.68722467,2
11,72.68722467,1
14,72.68722467,1
24,72.68722467,2
29,72.68722467,2
17,72.68722467,9
31,72.68722467,2
27,72.68722467,2
4,72.68722467,4
12,72.68722467,2
18,72.68722467,2
25,72.68722467,4
23,72.68722467,3
2,72.68722467,2
8,72.68722467,2
15,72.68722467,10
30,72.68722467,2
9,72.68722467,1
16,72.68722467,2
23,72.68722467,1
30,72.68722467,2
27,72.68722467,2
4,72.68722467,2
16,72.68722467,3
25,72.68722467,3
2,72.68722467,4
16,72.68722467,1
22,72.68722467,3
30,72.68722467,3
2,108.8986784,2
11,108.8986784,13
12,108.8986784,2
2,108.8986784,17
1,108.8986784,4
1,108.8986784,1
7,108.8986784,10
7,108.8986784,10
26,108.8986784,1
14,108.8986784,15
30,108.8986784,1
18,108.8986784,7
26,108.8986784,8
10,108.8986784,10
15,108.8986784,5
30,108.8986784,7
7,108.8986784,1
4,108.8986784,3
11,108.8986784,6
20,108.8986784,2
30,108.8986784,8
30,108.8986784,2
21,108.8986784,2
28,108.8986784,2
7,108.8986784,1
13,108.8986784,1
26,108.8986784,2
28,108.8986784,1
5,108.8986784,3
12,108.8986784,4
24,108.8986784,2
2,108.8986784,7
12,108.8986784,2
23,108.8986784,6
2,108.8986784,1
16,108.8986784,3
30,108.8986784,3
14,108.8986784,20
3,108.8986784,1
7,108.8986784,1
13,108.8986784,4
20,108.8986784,4
12,108.8986784,5
20,108.8986784,2
18,108.8986784,3
4,108.8986784,2
17,108.8986784,2
30,108.8986784,4
9,108.8986784,1
15,108.8986784,2
19,108.8986784,1
23,108.8986784,1
29,108.8986784,3
28,108.8986784,3
5,108.8986784,2
13,108.8986784,2
21,108.8986784,2
28,108.8986784,1
5,108.8986784,2
11,108.8986784,4
19,108.8986784,1
3,108.8986784,4
1,108.8986784,1
7,108.8986784,7
20,108.8986784,1
28,108.8986784,3
13,108.8986784,2
27,108.8986784,3
5,141.4096916,3
11,141.4096916,7
25,141.4096916,3
30,141.4096916,2
30,141.4096916,1
21,141.4096916,4
6,141.4096916,4
15,141.4096916,12
13,141.4096916,5
26,141.4096916,4
14,141.4096916,1
18,141.4096916,3
24,141.4096916,4
3,141.4096916,4
16,141.4096916,3
24,141.4096916,2
29,141.4096916,2
7,141.4096916,3
31,141.4096916,6
1,141.4096916,1
12,141.4096916,4
25,141.4096916,3
4,141.4096916,2
7,141.4096916,2
12,141.4096916,2
18,141.4096916,8
4,141.4096916,2
8,141.4096916,7
20,141.4096916,3
6,141.4096916,4
28,141.4096916,4
14,141.4096916,3
20,141.4096916,4
27,141.4096916,3
4,141.4096916,1
9,141.4096916,6
25,141.4096916,2
4,141.4096916,8
25,141.4096916,1
22,141.4096916,7
17,141.4096916,1
25,141.4096916,1
8,141.4096916,12
30,141.4096916,2
20,141.4096916,10
10,141.4096916,10
28,141.4096916,2
4,141.4096916,2
10,141.4096916,4
3,141.4096916,5
17,141.4096916,2
24,141.4096916,3
10,141.4096916,16
13,141.4096916,7
25,141.4096916,2
3,168.6343612,8
26,168.6343612,2
9,168.6343612,4
29,168.6343612,1
7,168.6343612,1
11,168.6343612,3
26,168.6343612,2
2,168.6343612,1
3,168.6343612,1
5,168.6343612,38
10,168.6343612,2
7,168.6343612,3
13,168.6343612,6
5,168.6343612,2
17,168.6343612,2
27,168.6343612,1
16,168.6343612,1
1,168.6343612,1
4,168.6343612,3
17,168.6343612,3
24,168.6343612,2
16,168.6343612,1
21,168.6343612,3
29,168.6343612,1
1,168.6343612,1
7,168.6343612,6
19,168.6343612,3
26,168.6343612,1
5,168.6343612,2
12,168.6343612,2
19,168.6343612,2
10,168.6343612,2
17,168.6343612,1
3,168.6343612,1
9,168.6343612,2
16,168.6343612,2
7,168.6343612,2
14,168.6343612,6
23,168.6343612,2
14,168.6343612,2
21,168.6343612,2
11,168.6343612,3
19,168.6343612,1
25,168.6343612,1
4,168.6343612,2
10,168.6343612,3
25,168.6343612,1
23,168.6343612,1
21,196.3876652,4
20,196.3876652,4
12,196.3876652,20
13,196.3876652,2
28,196.3876652,10
10,196.3876652,17
8,196.3876652,2
29,196.3876652,23
15,196.3876652,10
31,196.3876652,12
20,196.3876652,30
12,196.3876652,7
26,196.3876652,13
9,196.3876652,43
8,196.3876652,10
23,196.3876652,10
12,196.3876652,18
18,196.3876652,7
13,196.3876652,6
31,196.3876652,13
18,196.3876652,2
26,196.3876652,3
12,196.3876652,12
4,196.3876652,2
11,196.3876652,2
18,196.3876652,2
22,196.3876652,7
23,196.3876652,23
13,196.3876652,1
27,196.3876652,10
4,196.3876652,2
16,196.3876652,4
24,196.3876652,3
16,196.3876652,8
27,196.3876652,4
3,196.3876652,2
10,196.3876652,3
17,196.3876652,6
29,196.3876652,3
7,196.3876652,2
13,196.3876652,2
20,196.3876652,9
31,196.3876652,1
6,196.3876652,25
6,196.3876652,3
24,196.3876652,3
25,196.3876652,4
22,196.3876652,2
28,196.3876652,8
6,196.3876652,26
12,196.3876652,13
10,196.3876652,9
24,196.3876652,2
9,196.3876652,3
25,196.3876652,4
14,196.3876652,13
12,196.3876652,13
4,227.3127753,6
25,227.3127753,3
2,227.3127753,10
13,227.3127753,2
29,227.3127753,2
12,227.3127753,20
1,227.3127753,6
12,227.3127753,22
25,227.3127753,4
13,227.3127753,12
28,227.3127753,6
10,227.3127753,13
28,227.3127753,1
8,227.3127753,20
6,227.3127753,20
4,227.3127753,34
6,227.3127753,20
7,227.3127753,6
28,227.3127753,3
13,227.3127753,12
30,227.3127753,2
7,227.3127753,15
17,227.3127753,4
17,227.3127753,15
16,227.3127753,7
30,227.3127753,2
31,227.3127753,15
28,227.3127753,11
25,227.3127753,2
31,227.3127753,6
1,227.3127753,2
17,227.3127753,16
29,227.3127753,1
6,227.3127753,2
25,227.3127753,2
27,227.3127753,2
4,227.3127753,2
11,227.3127753,1
24,227.3127753,3
29,227.3127753,1
16,227.3127753,2
30,227.3127753,2
7,227.3127753,2
11,227.3127753,2
22,227.3127753,2
10,227.3127753,1
12,227.3127753,2
21,227.3127753,15
5,227.3127753,1
12,227.3127753,12
27,227.3127753,2
5,227.3127753,11
5,227.3127753,19
30,227.3127753,2
7,227.3127753,2
26,227.3127753,4
19,227.3127753,7
6,227.3127753,7
26,227.3127753,2
13,227.3127753,10
3,258.5022026,2
10,258.5022026,2
30,258.5022026,3
23,258.5022026,10
7,258.5022026,14
28,258.5022026,6
19,258.5022026,5
28,258.5022026,8
15,258.5022026,1
24,258.5022026,25
23,258.5022026,3
24,258.5022026,10
19,258.5022026,9
5,258.5022026,4
3,258.5022026,1
9,258.5022026,1
5,258.5022026,6
9,258.5022026,4
14,258.5022026,2
13,258.5022026,1
21,258.5022026,2
7,258.5022026,12
25,258.5022026,1
13,258.5022026,3
17,258.5022026,4
9,258.5022026,2
11,258.5022026,1
15,258.5022026,2
19,258.5022026,2
22,258.5022026,2
7,258.5022026,6
21,258.5022026,3
4,258.5022026,4
3,258.5022026,1
16,258.5022026,8
1,258.5022026,1
3,258.5022026,2
9,258.5022026,2
23,258.5022026,3
8,258.5022026,2
14,258.5022026,3
21,258.5022026,4
13,258.5022026,9
13,258.5022026,2
25,258.5022026,2
4,258.5022026,2
11,258.5022026,12
16,258.5022026,8
3,258.5022026,9
15,258.5022026,3
7,258.5022026,6
23,258.5022026,3
13,258.5022026,2
20,258.5022026,5
2,258.5022026,3
5,258.5022026,1
17,258.5022026,1
22,258.5022026,2
16,288.8986784,4
9,288.8986784,1
19,288.8986784,2
26,288.8986784,3
7,288.8986784,10
26,288.8986784,1
7,288.8986784,4
28,288.8986784,16
9,288.8986784,10
5,288.8986784,1
11,288.8986784,3
26,288.8986784,2
30,288.8986784,3
16,288.8986784,3
10,288.8986784,25
7,288.8986784,4
21,288.8986784,8
9,288.8986784,1
12,288.8986784,4
25,288.8986784,3
10,288.8986784,2
17,288.8986784,3
16,288.8986784,6
24,288.8986784,3
28,288.8986784,6
10,288.8986784,6
19,288.8986784,3
26,288.8986784,8
8,288.8986784,2
11,288.8986784,2
25,288.8986784,3
12,288.8986784,5
24,288.8986784,16
6,288.8986784,1
9,288.8986784,4
16,288.8986784,2
23,288.8986784,1
7,288.8986784,5
16,288.8986784,2
23,288.8986784,8
7,288.8986784,3
29,288.8986784,2
24,288.8986784,12
12,288.8986784,3
19,288.8986784,3
26,288.8986784,1
6,288.8986784,11
24,288.8986784,3
7,288.8986784,4
27,288.8986784,3
7,288.8986784,2
14,288.8986784,2
20,288.8986784,2
27,288.8986784,4
9,288.8986784,4
15,288.8986784,1
26,288.8986784,4
8,315.8590308,3
11,315.8590308,5
18,315.8590308,1
10,315.8590308,3
8,315.8590308,1
9,315.8590308,4
2,315.8590308,26
10,315.8590308,8
1,315.8590308,16
20,315.8590308,23
10,315.8590308,6
19,315.8590308,1
4,315.8590308,2
9,315.8590308,9
25,315.8590308,1
14,315.8590308,6
23,315.8590308,1
6,315.8590308,8
21,315.8590308,2
9,315.8590308,7
10,315.8590308,4
17,315.8590308,3
1,315.8590308,4
16,315.8590308,3
16,315.8590308,9
2,315.8590308,8
19,315.8590308,12
5,315.8590308,1
8,315.8590308,2
23,315.8590308,1
30,315.8590308,6
30,315.8590308,3
29,315.8590308,2
27,315.8590308,3
11,315.8590308,2
5,315.8590308,5
1,315.8590308,3
24,315.8590308,3
2,315.8590308,1
22,315.8590308,8
6,315.8590308,2
10,315.8590308,1
19,315.8590308,9
4,315.8590308,1
14,315.8590308,10
7,343.876652,2
17,343.876652,3
24,343.876652,2
29,343.876652,6
31,343.876652,15
6,343.876652,2
13,343.876652,2
25,343.876652,12
31,343.876652,28
23,343.876652,20
21,343.876652,33
31,343.876652,17
23,343.876652,30
24,343.876652,10
22,343.876652,8
28,343.876652,2
22,343.876652,18
14,343.876652,2
12,343.876652,24
20,343.876652,20
11,343.876652,6
18,343.876652,3
24,343.876652,17
24,343.876652,16
8,343.876652,28
14,343.876652,12
12,343.876652,5
19,343.876652,5
26,343.876652,4
20,343.876652,8
31,343.876652,5
24,343.876652,10
15,343.876652,10
5,343.876652,7
21,343.876652,16
24,343.876652,10
20,343.876652,20
5,343.876652,7
18,343.876652,17
9,343.876652,1
14,343.876652,3
22,343.876652,1
28,343.876652,2
31,343.876652,2
6,343.876652,12
21,343.876652,15
20,343.876652,12
11,343.876652,2
18,343.876652,9
31,343.876652,5
4,343.876652,23
2,343.876652,2
8,343.876652,2
23,343.876652,11
4,343.876652,2
15,343.876652,13
10,343.876652,2
23,343.876652,10
9,343.876652,27
10,343.876652,24
15,343.876652,20
